nombre,tipo_unidad,domicilio,asentamiento,ciudad,cp,estado,municipio,no_tel,responsable_puesto,pagina_web,correo_electronico,mineral,realiza,longitud_x,latitud_y,fecha_actualizacion
Grupo México,Grupo,Campos Elíseos n.° 400. Colonia Lomas de Chapultepec,Lomas de Chapultepec VII Sección,Miguel Hidalgo,11000,Ciudad de México,Miguel Hidalgo,551 103 5000,"Mota Velasco Germán Larrea, Presidente ejecutivo",www.grupomexico.com,presidencia@mmgmexico.com,"Cobre, molibdeno, plata, zinc",Comercialización,-99.252499,19.420579,apr-25
Grupo Ortiz,Grupo,Tulipanes n.° 105. Colonia Ampliación Adolfo López Mateos,Ampliación Adolfo López Mateos,Coatzacoalcos,96499,Veracruz de Ignacio de la Llave,Coatzacoalcos,921 217 3776,s/i,www.grupoortiz.mx,info@gruportiz.com,Grava,Comercialización,-94.439806,18.123361,apr-25
Guanajuato Silver Company Ltd.,Grupo,Hidalgo s/n. Colonia Planta El Rosario,Topia,Topia,34540,Durango,Topia,604 670 8460,"Anderson James, Presidente y CEO",www.gsilver.com,info@gsilver.com,"Oro, plata, plomo, zinc",Comercialización,-106.572584,25.214478,apr-25
Imerys,Grupo,Ing. Rogelio Villanueva Varela y Pagasa s/n. Colonia Nueva Victoria,Café Combate,Hermosillo,83165,Sonora,Hermosillo,s/i,"Montijo Vejar Gerardo, Gerente de operaciones México",www.imerys.com,gerardo.montijo@imerys.com,Wollastonita,Extracción,-111.446056,29.359204,apr-25
"Industrias Peñoles, S.A.B. de C.V.",Grupo,Calz. Legaria n.° 549 torre 2. Colonia 10 de abril,10 de Abril,Miguel Hidalgo,11250,Ciudad de México,Miguel Hidalgo,555 279 3000,"Rebollar González Rafael, Director ejecutivo",www.penoles.com.mx,ir@penoles.com.mx,"Oro refinado, plata refinada, plomo afinado, sulfato de sodio, zinc afinado",Comercialización,-99.206916,19.447768,apr-25
"Invecture Group, S.A. de C.V.",Grupo,Montes Urales n.° 750-3. Colonia Lomas de Chapultepec V Sección,Lomas de Chapultepec V Sección,Miguel Hidalgo,11000,Ciudad de México,Miguel Hidalgo,551 579 4900,"Belmont Julio, Director",invecture.com,direccion@cobredelmayo.com,Cobre,Extracción,-99.204456,19.424061,apr-25
Kootenay Silver Inc.,Grupo,Francisco González Bocanegra n.° 91. Colonia Periodista,Periodista,Hermosillo,83156,Sonora,Hermosillo,662 214 3470,"McDonald James M., Presidente",www.kootenaysilver.com,investor@kootenaysilver.com,"Oro, plata, plomo, zinc",Exploración,-110.943736,29.107118,apr-25
La Sorpresa Mining Co.,Grupo,Batallón San Patricio n.° 109. Colonia Valle Oriente,Zona Valle Oriente,San Pedro Garza García,66278,Nuevo León,San Pedro Garza García,818 252 1941,"Salinas Federico, Presidente y CEO",sorpresamining.com,contact@imls.mx,"Cobre, oro, plata, plomo, zinc",Comercialización,-100.333902,25.648629,apr-25
Luca Mining Corp.,Grupo,"Insurgentes Sur n.° 1811, piso 6. Colonia Guadalupe Inn",Guadalupe Inn,Álvaro Obregón,1020,Ciudad de México,Álvaro Obregón,604 684 8071,"Rhodes David, Presidente y CEO",www.lucamining.com,ir@lucamining.com,"Cobre, oro, plata, plomo, zinc",Comercialización,-99.184779,19.356725,apr-25
"Minera Cascabel, S.A. de C.V.",Grupo,Av. Trece n.° 100. Colonia Bugambilias,Bugambilia,Hermosillo,83140,Sonora,Hermosillo,662 215 7477,"Yeomans Otero María Guadalupe, Gerente",www.imdex.com,gyomans@imdex-cascabel.com,"Oro, plata",Exploración,-110.959604,29.119541,apr-25
"Minera Frisco, S.A.B. de C.V.",Grupo,"Av. Paseo de las Palmas n.° 781, piso 7. Colonia Lomas de Chapultepec III Sección",Lomas de Chapultepec III Sección,Miguel Hidalgo,11000,Ciudad de México,Miguel Hidalgo,552 122 2600,"Kuri Kaufman Gerardo, Director general",www.minerafrisco.com.mx,dirgral@minerafrisco.com.mx,"Cobre, cobre catódico, oro, oro y plata (barra doree), plata, plomo, zinc","Comercialización, desarrollo minero, exploración, explotación",-99.216848,19.429573,apr-25
"Saint-Gobain México, S.A. de C.V.",Grupo,Calz. Legaria n.° 549. Colonia 10 de Abril,10 de Abril,Miguel Hidalgo,11250,Ciudad de México,Miguel Hidalgo,555 279 1600,"Martioli Elizabete, Directora regional",www.saint-gobain.com.mx,elizabete.martioli@saint-gobain.com,Yeso,"Comercialización, distribución de material de construcción, fabricación",-99.207099,19.447599,apr-25
Silver Storm Mining Ltd.,Grupo,San José de la Parrilla s/n. Colonia Unidad minera la Parrilla,San José de la Parrilla (La Parrilla),Nombre de Dios,34863,Durango,Nombre de Dios,416 504 2024,"Mckenzie Greg, Director y presidente CEO",s/i,info@silverstorm.ca,"Oro, plata, plomo, zinc",Exploración,-104.109596,23.73834,apr-25
SilverCrest Metals,Grupo,Luis Encinas n.° 604. Colonia El Torreón,Torreón,Hermosillo,83204,Sonora,Hermosillo,662 213 7823,"Fier N. Eric, Presidente",www.silvercrestmetals.com,info@silvercrestmetals.com,"Oro, plata",Explotación,-110.976139,29.086056,apr-25
"Ternium México, S.A. de C.V.",Grupo,Av. Universidad n.° 992. Colonia Cuauhtémoc,Cuauhtémoc,San Nicolás de los Garza,66450,Nuevo León,San Nicolás de los Garza,813 067 0222,"Montero Óscar, Director",mx.ternium.com,omontero@ternium.com,"Acero, fierro","Comercialización, extracción, fabricación",-100.30632,25.728297,apr-25
Álamos Gold Inc.,Grupo,De los Pimas n.° 81. Colonia Parque Industrial,Parque Industrial Hermosillo,Hermosillo,83299,Sonora,Hermosillo,662 217 3707,"Martínez Chávez Luis , Vicepresidente México",www.alamosgold.com,info@alamosgold.com,Oro,Extracción,-110.90553,29.02145,apr-25
AGC Triturados,Empresa,Belisario Domínguez n.° 88. Colonia Casa Blanca,Casa Blanca,Querétaro,76030,Querétaro,Querétaro,442 216 2625,s/i,www.agccon.com.mx,triturados@agccon.com.mx,"Arena, caliza, grava, tepetate","Comercialización, explotación",-100.394472,20.579278,jan-25
"Acabados de barro, cantera y mármol",Empresa,Sendero del Escobal s/n. Colonia Ciudad Adolfo López Mateos,Ciudad Adolfo López Mateos,Atizapán de Zaragoza,52900,Estado de México,Atizapán de Zaragoza,551 740 0108,s/i,www.acabadosdebarro.com,ventasmarmolycantera@gmail.com,"Cantera, granito, mármol",Comercialización,-99.317139,19.546194,jan-25
"Agacel Agregados y Asfaltos, S.A. de C.V.",Empresa,Aliot n.° 100. Colonia Observatorio,Observatorio,Querétaro,76040,Querétaro,Querétaro,442 216 6590,s/i,agacel.com.mx,s/i,Agregados pétreos,"Comercialización, extracción, fabricación",-100.378528,20.586722,jan-25
Agnico Eagle Mexico,Empresa,Vía Trentino 5710 int 504. Colonia Saucito,Saucito,Chihuahua,31110,Chihuahua,Chihuahua,614 180 3100,"Cázares Pérez Blanca Paola, Directora de sostenibilidad / Montiel Rodríguez Iván, Director de operaciones en México",www.agnicoeagle.com,paola.cazares@agnicoeagle.com / ivan.montiel@agnicoeagle.com,Oro y plata (barra doree),"Desarrollo minero, exploración, explotación",-106.128587,28.663276,jan-25
"Agnico Eagle México, S.A. de C.V.",Empresa,Av. Mirador n.° 7724. Colonia Colinas del Valle,Colinas del Valle,Chihuahua,31217,Chihuahua,Chihuahua,614 180 3100,"Vaz Natasha, Vicepresidente ejecutivo",www.agnicoeagle.com,info@agnico-eagle.com; natasha.vaz@agnicoeagle.com,"Oro, plata","Comercialización, exploración, extracción",-106.12475,28.646889,jan-25
"Agnico Sonora, S.A. de C.V. (Oficina 1)",Empresa,Blvd. Luis Encinas Johnson n.° 604. Colonia Torreón,Torreón,Hermosillo,83204,Sonora,Hermosillo,662 236 2220,s/i,www.agnico-eagle.com,info@agnico-eagle.com,"Cobre, oro, plata","Exploración, extracción",-110.987361,29.093361,jan-25
"Agnico Sonora, S.A. de C.V. (Oficina 2)",Empresa,"Blvd. Luis Donaldo Colosio 450, nivel 7 int. 2. Colonia Metrocentro",Alameda,Hermosillo,83204,Sonora,Hermosillo,662 236 2220,"Amador Gustavo, Director de desarrollo de proyectos / Galindo Marco Antonio, Gerente general",www.agnicoeagle.com,gustavo.amador@agnicoeagle.com / marco.galindo@agnicoeagle.com,"Oro, plata","Exploración, explotación",-110.987361,29.093361,jan-25
"Agregados Cocoyoc, S.A. de C.V.",Empresa,"Camino a la mina, manzana 025. Colonia Lomas de Cocoyoc",San Luis Huexotla,Texcoco,56220,Estado de México,Texcoco,595 108 0559,s/i,s/i,s/i,"Arena, grava","Comercialización, explotación",-98.857194,19.486389,jan-25
"Agregados Faja de Oro, S.A. de C.V.",Empresa,Sonora n.° 109. Colonia El Progreso,El Progreso,Moroleón,38820,Guanajuato,Moroleón,445 458 0419,"Zavala Orozco Alejandro, Contacto",s/i,afo-fajadeoro@hotmail.com,"Arena, grava","Comercialización, extracción",-101.182861,20.127056,jan-25
"Agregados Ixquiapan, S.A.",Empresa,Ctra. Darío Arrieta n.° 95. Colonia Valle Verde Norte,Valle Verde Norte,Chilpancingo de los Bravo,39018,Guerrero,Chilpancingo de los Bravo,s/i,s/i,s/i,s/i,"Agregados pétreos, caliza",Comercialización,-99.522528,17.592583,jan-25
"Agregados de Caliza, S.A. de C.V.",Empresa,Ctra. Bernal-Tolimán km 1. Colonia Centro,Bernal,Ezequiel Montes,76680,Querétaro,Ezequiel Montes,441 322 9825,"Villalobos Maldonado José de la Cruz, Gerente de operaciones",www.agregadosdecaliza.com,g.ventas@agregadosdecaliza.com,Caliza,"Comercialización, extracción",-99.929599,20.749779,jan-25
"Agregados de Chiluca, S.A. de C.V.",Empresa,Av. Ejército Nacional n.° 425. Colonia Granada,Granada,Miguel Hidalgo,11520,Ciudad de México,Miguel Hidalgo,555 606 8920,s/i,s/i,s/i,"Arena, grava","Comercialización, explotación",-99.187972,19.438194,jan-25
"Agregados para la Construcción El Seis, S.A. de C.V.",Empresa,Av. J. Merced Cabrera n.° 179-A. Colonia Alta Villa,Alta Villa,Villa de Álvarez,28987,Colima,Villa de Álvarez,312 311 5309,s/i,s/i,agregadosseis@hotmail.com,Agregados pétreos,"Comercialización, extracción",-103.740556,19.266861,jan-25
"Agregados y Concretos de Meoqui, S.A. de C.V.",Empresa,Priv. Orquídeas n.° 1111. Colonia San Francisco,San Francisco,Meoqui,33130,Chihuahua,Meoqui,639 473 0566,s/i,agregadosyconcretosdemeoqui.com,acmplantameoqui@hotmail.com,Grava,"Comercialización, extracción",-105.493278,28.265667,jan-25
"Agregados y Materiales Pétreos de Tabasco, S.A. de C.V.",Empresa,C. Carlos Ramos n.° 270. Colonia La Sierra,La Sierra,Teapa,86801,Tabasco,Teapa,s/i,s/i,ampetsa.com.mx,s/i,Agregados pétreos,"Comercialización, extracción",-92.950472,17.559444,jan-25
"Agregados y Servicios Río Seco, S.A. de C.V.",Empresa,J. Merced Cabrera n.° 743. Colonia Leandro Valle,Leandro Valle,Villa de Álvarez,28989,Colima,Villa de Álvarez,312 311 0355,s/i,agregadosyserviciosrioseco.com,aserise_colima@hotmail.com,Agregados pétreos,Comercialización,-103.750056,19.27225,jan-25
"Alch Construcciones, S.A. de C.V.",Empresa,Ctra. 57 km 28.8. Colonia La Tinaja,sin dato,sin dato,78430,San Luis Potosí,Soledad de Graciano Sánchez,444 831 2298,"Pastor Ulises, Superintendente de obra",www.alch.com.mx,administración@alch.com.mx,Caliza,Extracción,-100.94931,22.18772,jan-25
"Aluti Diseños, S.A. de C.V.",Empresa,Vito Alessio Robles n.° 2315. Colonia Nazario S. Ortiz Garza,Nazario S Ortiz Garza,Saltillo,25100,Coahuila de Zaragoza,Saltillo,844 416 5511,s/i,s/i,s/i,Mármol,Comercialización,-101.002444,25.453611,jan-25
"Antracita de Sonora, S.A. de C.V.",Empresa,Av. Paseo del Prado n.° 49. Colonia Valle Verde,Valle Verde,Hermosillo,83200,Sonora,Hermosillo,662 114 0795,"Flores Leyva Jesús Francisco, Director general",www.antracitadesonora.com/index.html,info@antracitadesonora.com,Carbón antracítico,Comercialización,-110.97527,29.08523,jan-25
"Aplica Recubre y Decora, S.A. de C.V.",Empresa,Canal Interceptor s/n. Colonia El Plateado,El Plateado,Aguascalientes,20137,Aguascalientes,Aguascalientes,449 996 6791,s/i,marmoletti.com,s/i,Mármol,Comercialización,-102.294778,21.907917,jan-25
"ArcerlorMittal, S.A. de C.V.",Empresa,Francisco J. Mújica n.° 1-B. Colonia Centro,Siderúrgica Lázaro Cárdenas Las Truchas,Lázaro Cárdenas,60950,Michoacán de Ocampo,Lázaro Cárdenas,753 533 1000,"C. Cairo Víctor, Vicepresidente",mexico.arcelormittal.com,mariafernanda.vazquez@acerlomittal.com,Fierro,"Exploración, explotación, fabricación",-102.21476,17.95732,jan-25
"Arcillas Procesadas, S.A. de C.V.",Empresa,Av. Zuloaga 683. Colonia Los Ángeles,Los Ángeles,Torreón,27140,Coahuila de Zaragoza,Torreón,871 716 6880,s/i,s/i,s/i,Bentonita,Extracción,-103.443188,25.553865,jan-25
"Arena Sílica de Juanita, S.A. de C.V.",Empresa,Físicos 341. Colonia El Sifón,El Sifón,Iztapalapa,9400,Ciudad de México,Iztapalapa,525 633 9583,"Samuel Soto, Encargado",www.arenasilicadejuanita.com,arenasilicadejuanita@gmail.com,Arena sílica,"Comercialización, extracción",-99.109205,19.370701,oct-25
Arena sílica y feldespato COVIA,Empresa,"Prolongación Juárez, lote 19. Colonia Ferrocarrilera",Ferrocarrilera,Jáltipan,96210,Veracruz de Ignacio de la Llave,Jáltipan,922 264 2160,"Garza Reyes Víctor Hugo, Gerente",www.arenasilicayfeldespato.com,victorgarza@gmp.com.mx,Arena sílica,"Comercialización, explotación",-94.716461,17.979927,oct-25
"Arenera La Palma, S.A. de C.V.",Empresa,Melchor Ocampo n.° 1185. Colonia Tequisquiapan,Tequisquiapan,San Luis Potosí,78250,San Luis Potosí,San Luis Potosí,444 813 4600,"Pérez Moreno Pablo, Contador general",s/i,jocelynnmh@hotmail.com,Caliza arcillosa,Extracción,-100.992244,22.145959,jan-25
"Armando Gil Mendicuti e hijos, S.A. de C.V.",Empresa,Victoria n.° 11-A. Colonia San Román,San Román,Campeche,24040,Campeche,Campeche,981 816 4339,"Gil García Armando, Gerente general",s/i,armando.gil@msa.com,Agregados pétreos,"Comercialización, extracción",-90.547694,19.838333,jan-25
"Asociados y Sucesores Moy Cruz, S.A. de C.V.",Empresa,Domicilio conocido. Colonia Escárcega Centro,Escárcega Centro,Escárcega,24350,Campeche,Escárcega,982 824 0106,"Moyao Alarcón Leonardo, Gerente general",www.grupomoyao.com,asomoycruz@hotmail.com,Agregados pétreos,Comercialización,-90.750381,18.817279,jan-25
"Atalaya de Argenta, S.A. de C.V.",Empresa,Selenio n.° 168. Colonia Ciudad Industrial,Ciudad Industrial,Durango,34208,Durango,Durango,618 814 2524,"Gutiérrez Núñez José Jaime, Presidente y CEO / Gutiérrez Núñez Zeferino, Director de operaciones",www.bacis.com.mx,gpobacis@bacis.com.mx / gpobacis@bacis.com.mx,"Oro, plata",Comercialización,-104.605988,24.068165,jan-25
"Autlán Metallorum, Unidad Columbia",Empresa,Abelardo L. Rodríguez n.° 39. Colonia Fraccionamiento del Río,Magdalena de Kino Centro,Magdalena,84160,Sonora,Magdalena de Kino,632 690 9980,"Avilés Soto Tadeo, Director de operaciones",www.autlan.com.mx,tadeo.avilez@autlan.com.mx,"Cobre, oro, plata",Explotación,-110.66,30.628,jan-25
"Barimont Minería, S. de R.L. de C.V.",Empresa,Navarrete n.° 260. Colonia Villa Satélite,Siena Residencial,Hermosillo,83210,Sonora,Hermosillo,662 311 5055,"Yan Hengyu, Gerente general",www.barimont.com,hengyu.yan@barimont.com,Barita,Extracción,-109.992281,28.925067,jan-25
"Beneficiadora Metalzin, S. de R.L. de C.V. (antes Minera y Beneficiadora Purísima)",Empresa,Valentín Gómez Farías n.° 9. Colonia El Calvario,sin dato,sin dato,42331,Hidalgo,Zimapán,759 728 3471,"Ramírez Martínez Roberto, Gerente general",s/i,purizima_contabilidad@hotmail.com,"Cobre, zinc","Comercialización, extracción",-99.387298,20.732192,jan-25
"Beneficiadora Polimetálica de Rodeo, S.A. de C.V.",Empresa,Domicilio conocido. Colonia El Realito,El Realito,Rodeo,35766,Durango,Rodeo,618 189 0934,"Mesta Ceniceros Guillermo, Director general",s/i,jcmestac@hotmail.com,"Fierro, oro, plata, plomo, zinc","Comercialización, desarrollo minero, exploración, explotación",-104.672169,25.18107,jan-25
"Beneficiadora de Minerales Olibaz, S.A. de C.V.",Empresa,Patoni. Colonia s/i,Guanaceví,Guanaceví,35400,Durango,Guanaceví,674 884 5106,"Barraza Barraza Saúl, Director general",s/i,chammacco@hotmail.com,"Cobre, oro, plata, plomo, zinc","Comercialización, desarrollo minero, exploración, explotación, extracción",-105.971174,25.939365,jan-25
